,Description,Release Date,Director Name,Rating,Duration,Genre,Stars,Filming Dates
Once Upon a Time in America ,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",3 June 1984,Bong Joon Ho,8.4/10,3h 49min,"Comedy, Drama, Thriller","['Robert De Niro', 'James Woods', 'Elizabeth McGovern']",14 June 1982 - 22 April 1983
Aliens ,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",20 July 1986,James Cameron,8.3/10,2h 17min,"Action, Adventure, Sci-Fi","['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn']",30 September 1985 - 28 February 1986
Your Name. ,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",9 April 2017,Sam Mendes,8.4/10,1h 46min,Drama,"['Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryô Narit']",not known
Avengers: Endgame ,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",28 April 2019,Lee Unkrich,8.4/10,3h 1min,"Animation, Adventure, Family","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",2018
Coco ,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",26 November 2017,Makoto Shinkai,8.4/10,1h 45min,"Animation, Drama, Fantasy","['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt']",not known
American Beauty ,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,19 September 1999,Mel Gibson,8.3/10,2h 2min,"Biography, Drama, History","['Kevin Spacey', 'Annette Bening', 'Thora Birch']",14 December 1998 - 25 February 1999
Braveheart ,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,28 May 1995,Wolfgang Petersen,8.3/10,2h 58min,"Adventure, Drama, Thriller","['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan']",6 June 1994 - 28 October 1994
Das Boot ,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",14 February 1982,Rajkumar Hirani,8.3/10,2h 29min,"Comedy, Drama","['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann']",1979 - 1981
3 Idiots ,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",27 December 2009,Aamir Khan,8.4/10,2h 50min,"Drama, Family","['Aamir Khan', 'Madhavan', 'Mona Singh']",not known
Toy Story ,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,26 November 1995,Richard Marquand,8.3/10,1h 21min,"Action, Adventure, Fantasy","['Tom Hanks', 'Tim Allen', 'Don Rickles']",1992 - 1995
High and Low ,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,not known,John Lasseter,8.4/10,2h 23min,"Animation, Adventure, Comedy","['Toshirô Mifune', 'Yutaka Sad', 'Tatsuya Nakadai']",not known
Capernaum ,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",16 December 2018,Quentin Tarantino,8.4/10,2h 6min,"Crime, Drama, Thriller","['Zain Al Rafee', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole']",not known
Amadeus ,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",23 September 1984,Milos Forman,8.3/10,2h 40min,"Biography, Drama, History","['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge']",31 January 1983 - 20 July 1983
Inglourious Basterds ,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",23 August 2009,Nitesh Tiwari,8.3/10,2h 33min,"Action, Biography, Drama","['Brad Pitt', 'Diane Kruger', 'Eli Roth']",9 October 2008 - 6 February 2009
Star Wars: Episode VI - Return of the Jedi ,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",29 May 1983,Gus Van Sant,8.3/10,2h 11min,"Drama, Romance","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",11 January 1982 - 20 May 1982
Taare Zameen Par ,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",not known,Quentin Tarantino,8.4/10,2h 45min,"Adventure, Drama, War","['Darsheel Safary', 'Aamir Khan', 'Tisca Chopr']",not known
Good Will Hunting ,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",7 December 1997,Fritz Lang,8.3/10,2h 6min,"Crime, Mystery, Thriller","['Robin Williams', 'Matt Damon', 'Ben Affleck']",April 1997 - June 1997
Reservoir Dogs ,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",25 October 1992,Darren Aronofsky,8.3/10,1h 39min,Drama,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen']",29 July 1991 - 31 August 1991
2001: A Space Odyssey ,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",20 May 2018,Stanley Kubrick,8.3/10,2h 29min,"Adventure, Sci-Fi","['Keir Dulle', 'Gary Lockwood', 'William Sylvester']",29 December 1965 - 7 July 1966
Requiem for a Dream ,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,8 October 2000,Alfred Hitchcock,8.3/10,1h 42min,"Mystery, Romance, Thriller","['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly']",19 April 1999 - 16 June 1999
Vertigo ,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,18 March 2018,Michel Gondry,8.3/10,2h 8min,"Drama, Romance, Sci-Fi","['James Stewart', 'Kim Novak', 'Barbara Bel Geddes']",30 September 1957 - 19 December 1957
M ,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",not known,Orson Welles,8.3/10,1h 57min,"Drama, Mystery","['Peter Lorre', 'Ellen Widmann', 'Inge Landgut']",8 January 1931 - February 1931
Eternal Sunshine of the Spotless Mind ,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",21 March 2004,Stanley Kubrick,8.3/10,1h 48min,"Drama, War","['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson']",13 January 2003 - 3 April 2003
The Hunt ,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",14 July 2013,Thomas Vinterberg,8.3/10,1h 55min,Drama,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp']",11 November 2011
Citizen Kane ,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",not known,Alfred Hitchcock,8.3/10,1h 59min,"Adventure, Mystery, Thriller","['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore']",29 June 1940 - 23 October 1940
Dangal ,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,25 December 2016,Stanley Kubrick,8.4/10,2h 41min,"Crime, Drama, Sci-Fi","['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh']",not known
Full Metal Jacket ,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,28 June 1987,Guy Ritchie,8.3/10,1h 56min,"Comedy, Crime","['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio""]",27 August 1985 - 8 August 1986
